BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,115,,A5,44 MAY PLACE,,10312,1,0,1,2475,2495,1986,1,A5,750000,07/06/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,145,,A5,60 SEGUINE PLACE,,10312,1,0,1,1471,1172,1986,1,A5,0,05/10/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,1,,A5,39 EAGAN AVENUE,,10312,1,0,1,2600,1825,1986,1,A5,0,26/12/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6212,172,,A1,73 JEANETTE AVENUE,,10312,1,0,1,4500,1908,1965,1,A1,860000,15/12/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6212,172,,A1,73 JEANNETTE AVENUE,,10312,1,0,1,4500,1908,1965,1,A1,600000,12/07/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6215,51,,A1,154 FABIAN STREET,,10312,1,0,1,5000,1112,1960,1,A1,0,19/03/2024
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6216,32,,A1,8 EAGAN AVENUE,,10312,1,0,1,2500,1220,2005,1,A1,0,09/02/2024
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6219,16,,A5,94 LORRAIN AVE,,10312,1,0,1,1650,1700,2004,1,A5,300000,14/07/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6219,16,,A5,94 LORRAINE AVENUE,,10312,1,0,1,1650,1700,2004,1,A5,680000,20/03/2024
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6220,5,,A5,65 BARB STREET,,10312,1,0,1,1585,1339,2004,1,A5,685000,28/02/2024
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6230,33,,A2,634 DRUMGOOLE ROAD EAST,,10312,1,0,1,8000,1056,1930,1,A2,450000,28/06/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6230,35,,A1,630 DRUMGOOLE ROAD EAST,,10312,1,0,1,8000,2460,1960,1,A1,0,11/10/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6232,31,,A1,142 RATHBUN AVENUE,,10312,1,0,1,7200,1900,1998,1,A1,1185000,03/01/2024
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6235,50,,A1,185 SHELDON AVE,,10312,1,0,1,6000,2024,1960,1,A1,0,02/08/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6236,37,,A1,154 STAFFORD AVENUE,,10312,1,0,1,4000,1966,1935,1,A1,995000,22/12/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6237,7,,A1,419 JEFFERSON BOULEVARD,,10312,1,0,1,10000,3056,1960,1,A1,0,12/09/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6239,47,,A2,630 WOODROW ROAD,,10312,1,0,1,5760,2744,1980,1,A2,850000,12/06/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6239,67,,A3,225 CROWN AVENUE,,10312,1,0,1,9600,3698,1980,1,A3,1185000,24/10/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6240,46,,A1,4901 AMBOY ROAD,,10312,1,0,1,4250,1628,1924,1,A1,820000,05/10/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6243,58,,A1,49 MOSELY AVENUE,,10312,1,0,1,5500,1592,1920,1,A1,0,25/07/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1B,6245,6,,V0,4983 AMBOY ROAD,,10312,0,0,0,4009,0,1960,1,A2,500000,03/08/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6245,15,,A2,5001 AMBOY ROAD,,10312,1,0,1,8360,988,1960,1,A2,679000,02/06/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6245,220,,A2,46 PINE TERRACE,,10312,1,0,1,4700,1973,1960,1,A2,725000,12/12/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6245,257,,A1,45 FURMAN STREET,,10312,1,0,1,4748,2000,2001,1,A1,650000,21/03/2024
5,ANNADALE,01 ONE FAMILY DWELLINGS,1B,6246,16,,V0,3 POILLON AVENUE,,10312,0,0,0,5680,0,1978,1,A1,1050000,18/12/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6249,4,,A2,267 ALBEE AVENUE,,10312,1,0,1,8700,1911,1970,1,A2,0,25/11/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6249,259,,A2,156 NORTH PINE TERRACE,,10312,1,0,1,4700,2796,1965,1,A2,900000,07/12/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6249,262,,A2,157 NORTH PINE TERRACE,,10312,1,0,1,5600,1912,1965,1,A2,650000,26/03/2024
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6249,272,,A2,137 NORTH PINE TERRACE,,10312,1,0,1,4720,2008,1965,1,A2,648250,22/02/2024
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6249,274,,A2,133 NORTH PINE TERRACE,,10312,1,0,1,5500,2008,1965,1,A2,805000,11/12/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6249,431,,A1,884 ANNADALE ROAD,,10312,1,0,1,13367,1800,1930,1,A1,0,19/05/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6249,434,,A2,882 ANNADALE ROAD,,10312,1,0,1,12969,952,1945,1,A2,0,19/05/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6251,80,,A5,109 BENNETT AVENUE,,10312,1,0,1,3283,1344,1970,1,A5,0,11/09/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6251,90,,A1,14 DOWNES AVENUE,,10312,1,0,1,8000,2250,1985,1,A1,1080000,09/06/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6252,11,,A2,34 BUFFINGTON AVENUE,,10312,1,0,1,4200,2337,1970,1,A2,995000,19/03/2024
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6254,18,,A2,104 N. RAILROAD STREET,,10312,1,0,1,4000,1222,1970,1,A2,0,08/01/2024
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6254,104,,A1,89 SOUTH RAILROAD ST,,10312,1,0,1,6160,1200,1985,1,A1,635000,08/08/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6258,1,,A1,80 JEFFERSON BOULEVARD,,10312,1,0,1,5820,1200,1935,1,A1,768000,31/10/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6258,7,,A1,70 JEFFERSON BOULEVARD,,10312,1,0,1,6000,1868,1955,1,A1,0,02/11/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6258,10,,A1,68 JEFFERSON BOULEVARD,,10312,1,0,1,7200,1498,1925,1,A1,745000,02/05/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6259,40,,A2,100 JEFFERSON BOULEVARD,,10312,1,0,1,4000,1300,1955,1,A2,0,04/08/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6260,30,,A2,210 EDGEGROVE AVENUE,,10312,1,0,1,6000,836,1940,1,A2,725000,06/06/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6260,68,,A1,259 DETROIT AVENUE,,10312,1,0,1,4000,3005,1990,1,A1,996000,26/09/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6269,17,,A3,284 VINELAND AVENUE,,10312,1,0,1,9500,3400,2004,1,A3,2130000,09/04/2024
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6269,21,,A3,278 VINELAND AVENUE,,10312,1,0,1,6500,2800,2004,1,A3,950000,10/05/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6269,40,,A1,408 JEFFERSON BOULEVARD,,10312,1,0,1,6000,1152,1935,1,A1,0,29/02/2024
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6270,21,,A1,304 CROWN AVENUE,,10312,1,0,1,4000,2000,1950,1,A1,0,11/12/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6279,10,,A2,203 SOUTH RAILROAD ST,,10312,1,0,1,4380,2230,1985,1,A2,0,28/11/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6279,10,,A2,203 SOUTH RAILROAD STREET,,10312,1,0,1,4380,2230,1985,1,A2,0,03/10/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6280,3,,A2,430 EDGEGROVE AVENUE,,10312,1,0,1,4000,2002,1973,1,A2,728000,17/01/2024
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6283,31,,A1,337 IONIA AVENUE,,10312,1,0,1,5700,2420,1985,1,A1,0,20/09/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6286,15,,A1,393 LAMONT AVENUE,,10312,1,0,1,8300,2920,1975,1,A1,950000,20/09/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6296,74,,A2,307 DELMAR AVENUE,,10312,1,0,1,4000,1968,1970,1,A2,0,22/05/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6297,63,,A2,495 IONIA AVENUE,,10312,1,0,1,4000,1968,1970,1,A2,735000,23/08/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6297,66,,A2,297 DELMAR AVENUE,,10312,1,0,1,4000,1968,1970,1,A2,0,12/02/2024
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6300,14,,A2,450 RENSSELAER AVENUE,,10312,1,0,1,10000,1950,1970,1,A2,999999,29/02/2024
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6300,19,,A3,440 RENSSELAER AVENUE,,10312,1,0,1,13000,2957,1970,1,A3,950000,09/05/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6300,66,,A3,221 DELMAR AVENUE,,10312,1,0,1,6000,1932,1970,1,A3,0,01/06/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6303,74,,A1,131 DELMAR AVENUE,,10312,1,0,1,4000,2070,1980,1,A1,825000,20/02/2024
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6320,5,,A2,192 ALBEE AVENUE,,10312,1,0,1,8000,1568,1970,1,A2,918000,22/08/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6320,63,,A2,78 BUFFINGTON AVENUE,,10312,1,0,1,4000,1125,1965,1,A2,639000,07/07/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6349,8,,A3,472 HAROLD AVENUE,,10312,1,0,1,10154,3020,1984,1,A3,10,28/02/2024
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6352,40,,A3,68 BAYVIEW TERRACE,,10312,1,0,1,11721,8200,1992,1,A3,2050000,31/01/2024
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6356,5,,A1,63 BENNETT PLACE,,10312,1,0,1,8406,3480,1989,1,A1,0,21/03/2024
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6360,35,,A1,6 RYAN PLACE,,10312,1,0,1,6000,2065,1984,1,A1,1190000,26/07/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6361,25,,A1,211 KINGHORN STREET,,10312,1,0,1,7000,2240,1983,1,A1,763688,13/07/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6361,79,,A1,170 LENZIE STREET,,10312,1,0,1,5570,3700,2003,1,A1,0,10/01/2024
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6364,8,,A1,50 TYNDALE STREET,,10312,1,0,1,6000,2259,1975,1,A1,940000,08/03/2024
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6364,84,,A1,23 TYNDALE STREET,,10312,1,0,1,11000,3600,1996,1,A1,1129239,13/09/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6367,1,,A1,327 SHIRLEY AVENUE,,10312,1,0,1,4240,1976,1975,1,A1,830000,18/12/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6367,13,,A1,84 WEAVER STREET,,10312,1,0,1,4000,2296,1970,1,A1,910000,03/11/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6367,19,,A2,70 WEAVER STREET,,10312,1,0,1,4000,715,1935,1,A2,0,11/08/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6367,42,,A1,295 SHIRLEY AVENUE,,10312,1,0,1,4000,2524,1975,1,A1,0,05/07/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6367,48,,A1,307 SHIRLEY AVENUE,,10312,1,0,1,4000,1744,1975,1,A1,0,01/06/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6368,1,,A1,91 WEAVER STREET,,10312,1,0,1,4240,3168,1975,1,A1,0,01/03/2024
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6368,28,,A1,50 JANSEN STREET,,10312,1,0,1,10400,2334,1975,1,A1,0,18/08/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6370,1,,A2,497 BARCLAY AVENUE,,10312,1,0,1,6300,2821,1980,1,A2,765000,26/01/2024
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6371,38,,A1,106 JANSEN STREET,,10312,1,0,1,6300,2474,1970,1,A1,850000,21/06/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6371,57,,A3,131 WEAVER STREET,,10312,1,0,1,10100,2240,1970,1,A3,0,10/05/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6373,146,,A5,30 WINSLOW PLACE,,10312,1,0,1,3442,2058,2015,1,A5,0,25/10/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6377,18,,A1,138 EYLANDT ST,,10312,1,0,1,6000,3040,1987,1,A1,1160000,05/06/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6398,24,,A1,87 ALLEN PL,,10312,1,0,1,2720,2044,1945,1,A1,6000,03/11/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6398,24,,A1,87 ALLEN PLACE,,10312,1,0,1,2720,2044,1945,1,A1,0,21/12/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6398,24,,A1,87 ALLEN PLACE,,10312,1,0,1,2720,2044,1945,1,A1,5000,26/10/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6398,24,,A1,87 ALLEN PLACE,,10312,1,0,1,2720,2044,1945,1,A1,5000,31/10/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6401,49,,A1,596 BARCLAY AVE,,10312,1,0,1,4003,2500,1996,1,A1,0,18/03/2024
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6402,39,,A2,10 ALLEN PLACE,,10312,1,0,1,6000,2040,1952,1,A2,650000,03/06/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6406,1,,A1,262 NOEL STREET,,10312,1,0,1,4500,1400,2001,1,A1,0,18/07/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6407,12,,A1,275 NOEL STREET,,10312,1,0,1,12000,2116,1983,1,A1,0,08/02/2024
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6417,12,,A1,185 EYLANDT STREET,,10312,1,0,1,12048,2538,1987,1,A1,350000,26/09/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6421,78,,A1,232 TALLMAN STREET,,10312,1,0,1,8000,3085,1980,1,A1,999900,07/06/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6429,90,,A3,25 BLUE HERON COURT,,10312,1,0,1,12695,4030,2000,1,A3,0,23/01/2024
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6442,126,,A1,25 NEWTON STREET,,10312,1,0,1,9692,1950,1920,1,A1,800000,23/10/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6452,9,,A6,26 ZEPHYR AVENUE,,10312,1,0,1,3591,220,1920,1,A6,235000,01/02/2024
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6456,21,,A1,440 PHILIP AVENUE,,10312,1,0,1,7200,3800,1996,1,A1,1362000,30/05/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6460,12,,A1,348 PHILIP AVENUE,,10312,1,0,1,3680,1970,1986,1,A1,825000,07/09/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6461,43,,A1,49 ALLEGRO STREET,,10312,1,0,1,3801,2105,2022,1,A1,0,18/10/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6475,230,,A3,30 NICOLOSI DR,,10312,1,0,1,23433,5400,1990,1,A3,0,10/11/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6475,523,,A5,349 ARBUTUS AVENUE,,10312,1,0,1,1547,1426,2011,1,A5,0,06/02/2024
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6475,532,,A5,5194 HYLAN BOULEVARD,,10312,1,0,1,1722,1764,2011,1,A5,665000,06/06/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6511,94,,A1,57 RUGGLES STREET,,10312,1,0,1,10029,2652,1998,1,A1,1255000,29/06/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6517,175,,A1,465 JANSEN STREET,,10312,1,0,1,13600,4800,1985,1,A1,1255500,17/10/2023
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,5406,9,,B2,180 KINGHORN STREET,,10312,2,0,2,5000,3150,1990,1,B2,0,18/12/2023
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,5406,29,,B2,93 ELMBANK STREET,,10312,2,0,2,5000,3360,1989,1,B2,999000,17/11/2023
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,5407,11,,B2,108 ELMBANK STREET,,10312,2,0,2,5000,2627,2016,1,B2,0,11/08/2023
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6205,94,,B9,43 SEGUINE PLACE,,10312,2,0,2,3250,1804,1986,1,B9,763000,28/08/2023
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6209,67,,B9,199 MOSLEY AVENUE,,10312,2,0,2,2665,1592,2007,1,B9,799999,10/11/2023
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6209,74,,B9,185 MOSELY AVENUE,,10312,2,0,2,3250,2008,1986,1,B9,0,24/09/2023
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6209,77,,B9,177 MOSELY AVENUE,,10312,2,0,2,3250,2008,1986,1,B9,0,31/01/2024
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6212,100,,B2,1114 ARDEN AVENUE,,10312,2,0,2,4470,2500,2000,1,B2,990000,21/11/2023
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6214,1,,B2,163 FABIAN STREET,,10312,2,0,2,4500,3496,2000,1,B2,0,19/02/2024
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6228,19,,B2,170 EDGEGROVE AVENUE,,10312,2,0,2,4000,2424,1925,1,B2,0,03/12/2023
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6228,19,,B2,170 EDGEGROVE AVENUE,,10312,2,0,2,4000,2424,1925,1,B2,1150000,20/10/2023
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6235,7,,B2,351 JEFFERSON BOULEVARD,,10312,2,0,2,5000,2140,1980,1,B2,0,26/06/2023
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6235,14,,B2,158 SINCLAIR AVENUE,,10312,2,0,2,6000,2655,1985,1,B2,0,30/11/2023
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6235,27,,B2,140 SINCLAIR AVENUE,,10312,2,0,2,4000,2368,1965,1,B2,1020000,01/06/2023
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6236,17,,B9,188 STAFFORD AVENUE,,10312,2,0,2,10000,4340,1984,1,B9,0,03/04/2024
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6237,4,,B2,409 JEFFERSON BOULEVARD,,10312,2,0,2,6000,2594,1986,1,B2,0,12/09/2023
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6237,70,,B1,191 STAFFORD AVENUE,,10312,2,0,2,5000,2208,1970,1,B1,0,03/04/2024
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6238,58,,B2,195 VINELAND AVENUE,,10312,2,0,2,4000,2230,2004,1,B2,1170000,22/09/2023
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6242,36,,B2,64 MOSELY AVENUE,,10312,2,0,2,4290,2250,2000,1,B2,0,04/12/2023
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6242,72,,B2,25 SUMMIT PLACE,,10312,2,0,2,4125,2400,2014,1,B2,1220000,05/07/2023
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6249,219,,B2,20 TENAFLY PLACE,,10312,2,0,2,6026,2480,2012,1,B2,0,25/02/2024
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6249,220,,B2,16 TENAFLY PL,,10312,2,0,2,6026,2298,2012,1,B2,0,25/02/2024
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6250,5,,B2,245 ALBEE AVENUE,,10312,2,0,2,4040,1952,1970,1,B2,0,11/09/2023
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6250,5,,B2,245 ALBEE AVENUE,,10312,2,0,2,4040,1952,1970,1,B2,725000,17/08/2023
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6250,38,,B2,67 TENAFLY PLACE,,10312,2,0,2,3931,2235,2014,1,B2,0,16/11/2023
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6254,53,,B2,36 N. RAILROAD STREET,,10312,2,0,2,4000,2304,1984,1,B2,0,19/05/2023
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6261,39,,B2,168 JEFFERSON BOULEVARD,,10312,2,0,2,5750,2450,1997,1,B2,1150000,23/02/2024
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6261,56,,B2,N/A EDGEGROVE AVENUE,,10312,2,0,2,5000,2940,2023,1,B2,1410276,08/12/2023
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6264,1,,B3,264 RATHBUN AVENUE,,10312,2,0,2,9720,1968,1930,1,B3,0,07/11/2023
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6266,25,,B2,282 SHELDON AVENUE,,10312,2,0,2,4000,2200,2001,1,B2,0,01/01/2024
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6269,1,,B2,320 VINELAND AVENUE,,10312,2,0,2,4400,2616,1975,1,B2,820000,11/03/2024
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6270,1,,B2,344 CROWN AVENUE,,10312,2,0,2,4900,2449,2000,1,B2,1075000,23/05/2023
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6270,15,,B2,318 CROWN AVENUE,,10312,2,0,2,4000,2182,1975,1,B2,0,01/02/2024
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6270,60,,B2,291 VINELAND AVENUE,,10312,2,0,2,4000,2324,2004,1,B2,0,07/02/2024
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6270,74,,B2,321 VINELAND AVENUE,,10312,2,0,2,4500,2776,1970,1,B2,840000,21/12/2023
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6271,30,,B2,15 CANTON AVENUE,,10312,2,0,2,4160,2500,2013,1,B2,0,29/03/2024
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6272,1,,B1,744 WOODROW ROAD,,10312,2,0,2,8372,3200,1980,1,B1,0,16/10/2023
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6277,74,,B2,326 EDGEGROVE AVENUE,,10312,2,0,2,6000,2405,1985,1,B2,10,02/08/2023
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6278,18,,B2,307 EDGEGROVE AVENUE,,10312,2,0,2,4000,1800,1984,1,B2,900000,09/08/2023
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6281,23,,B2,372 IONIA AVENUE,,10312,2,0,2,4000,2066,1974,1,B2,840000,13/07/2023
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6283,28,,B2,331 IONIA AVENUE,,10312,2,0,2,5000,2328,1986,1,B2,0,12/09/2023
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6297,25,,B2,432 LAMONT,,10312,2,0,2,5000,2760,2022,1,B2,1313543,11/10/2023
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6297,26,,B2,428 LAMONT AVENUE,,10312,2,0,2,4000,2525,2022,1,B2,1120075,06/07/2023
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6297,27,,B2,424 LAMONT AVENUE,,10312,2,0,2,4000,2476,2022,1,B2,1210586,25/07/2023
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6302,53,,B2,455 SHELDON AVENUE,,10312,2,0,2,8000,4651,2023,1,B2,1650000,05/03/2024
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6303,4,,B2,394 STAFFORD AVENUE,,10312,2,0,2,4500,3000,2023,1,B2,0,19/03/2024
